char,pron
五月節,ng1 ngiet6 ziet5
八月十五,bat5 ngiet6 sip6 ng3
八月半,bat5 ngiet6 ban4
重陽,cung2 yong2
年三十晚,ngien2 sam1 sip6 man1
通書,tung1 su1
一世,yit5 se4
前世,cien2 se4
轉世,zon3 se4
一陣間,yit5 cin4 gan1
陣時間,cin4 si2 gan1
𥍉下眼,ngiap5 ha4 ngan3
時途,si2 tu2
水田,sui3 tien2
旱地,hon1 ti4
田塍,tien2 sun2
耕田,gang1 tien2
扯禾,ca3 vo2
扯秧,ca3 yong1
蒔田,si4 tien2
耘田,vun2 tien2
割禾,got5 vo2
拌禾,pan1 vo2
禾稈草,vo2 gon3 cau3
禾稈頭,vo2 gon3 teu2
漚肥,eu4 pui2
钁鋤,giok5 co2
鐵鏟,tiet5 can3
釘鋤,dang1 co2
番釘,fan1 dang1
禾鐮,vo2 liam2
鐮刀,liam2 dau1
柴刀,cai2 dau1
水車,sui3 ca1
風櫃,fung1 kui4
穀桶,guk5 tung3
拌桶,pan1 tung3
簸箕,boi4 gi1
畚箕,bun4 gi1
畚臿,bun4 cap5
糞箕,bun4 gi1
篩子,si1 zu1
礱磨,lung2 mo4
碓坎,doi4 ham3
碓頭,doi4 teu2
碾子,lien4 zu3
石碌,sak6 luk5
禾庭,vo2 tang2
穀笪,guk5 dat5
擔竿,dam4 gon1
索嫲,sok5 ma2
打樁,da3 zong1
楔仔,siap5 zai3
竹檳子,zuk5 bin1 zai3
點麥,diam4 mak6
暴芽,bau4 nga2
吥芽,but6 nga2
掌牛,zong3 ngiu2
剁柴,dok6 cai2
投墟,teu2 hi1
出墟,cut5 hi1
網魚,miong3 ng2
捉魚,zuk5 ng2
作陂頭,zok5 bi1 teu2
作河壆,zok5 ho2 bok5
乾塘,gon1 tong2
戽水,fu4 sui3
絞米,gau3 mi3
菜園,coi4 yen2
種菜,zung4 coi4
淋菜,lim2 coi2
劏魚,tong1 ng2
劏雞,tong1 gai1
劏豬,tong1 zu1
養雞,yong1 gai1
養豬,yong1 zu1
做東西,zo4 dung1 si1
做事,zo4 se4
打米,da3 mi3
買肉,mai1 ngiuk5
洗米,se3 mi1
煮飯,zu3 fan4
燜飯,mun1 fan4
煮菜,zu3 coi4
煲順,bau1 sun4
淥順,luk5 sun4
盪碗,long1 von3
掌屋,zong3 vuk5
洗衫,se3 sam1
晾燥,lang2 zau1
火燒屋,fo3 sau1 vuk5
火燭,fo3 zuk5
出力,cut5 lit6
撿瓦背,giam3 nga3 boi4
禾串,vo2 con4
泛穀,pang4 guk5
糯米,lo4 mi3
粘米,zam1 mi3
狗尾粟,geu3 mui1 suk5
包粟,bau1 suk5
高粱粟,gau1 liong2 suk5
黃豆,vong2 teu4
荷蘭豆,ho2 lan1 teu4
蠶豆,cam2 teu4
油麻,yiu2 ma2
豆角,teu4 gok5
刀豆仔,dau1 teu4 zai3
番薯,fan1 su2
荷蘭薯,ho2 lan1 su2
薯仔,su2 zai3
地豆,ti4 teu4
地豆米,ti4 teu4 mi3
風栗,fung1 lit6
粟子,lit6 zu3
青菜,ciang1 coi4
角菜,gok5 coi4
黃芽白,vong2 nga2 pak6
矮瓜,ai3 ga1
絲瓜,se1 ga1
金瓜,gim1 ga1
冬瓜,dung1 ga1
黃瓜,vong2 ga1
番茄,fan1 kio2
蘿蔔,lo2 pet6
紅蘿蔔,fung2 lo2 pet6
辣椒,lat6 ziau1
蕹菜,vung4 coi4
韭菜,giu3 coi4
莧菜,han4 coi4
芥菜,gai4 coi4
芹菜,kiun2 coi4
芫荽,yen2 sui1
脈菜,mak5 coi4
潺菜,can2 coi4
牙姑,nga2 gu1
蓮藕,lien2 leu1
馬蹄,ma1 tai2
菱角,lin2 gok5
蔥仔,cung1 zai3
蒜仔,son4 zai3
蒜苗,son4 miau2
蒜頭,son4 teu2
蕎頭,kiau1 teu2
薑嫲,giong1 ma2
菜心,coi4 sim1
菜根,coi4 gin1
菜秧,coi4 yong1
薸仔,piau2 zai3
生果,sang1 go3
桃仔,tau2 zai3
李仔,li3 zai3
腍柿,lem2 se2
石榴,sak6 liu2
橘仔,git5 zai3
柑仔,gam1 zai3
橙仔,zang2 zai3
碌仔,luk5 zai3
梅仔,moi2 zai3
葡萄子,pu2 tau2 zu3
櫻桃,yin1 tau2
紅棗,fung2 zau3
合桃,hap6 tau2
山渣,san1 za1
牙蕉,nga2 ziau1
荔果,lai1 go3
龍眼,lung2 ngan3
西瓜,si1 ga1
梅花,moi2 fa1
杏花,hen4 fa1
桃花,tau2 fa1
蓮花,lien2 fa1
桂花,gui4 fa1
杜鵑花,tu4 gien1 fa1
蘭花,lan2 fa1
雞蛋花,gai1 tan4 fa1
茉莉花,mat6 li4 fa1
白玉蘭,pak6 ngiuk6 lan2
手巾絮,siu3 gin1 sui1
金銀花,gim1 ngiun2 fa1
菊花,kiuk5 fa1
向日葵,hiong4 ngit5 kui2
棉花,mien2 fa1
槐樹,fai2 su4
楓樹,fung1 su4
苦楝樹,fu3 lien4 su4
千重皮,cien1 cung2 pi2
柳樹,liu3 su4
桑仔樹,song1 zai3 su4
桑仔,song1 zai3
榕樹,yung2 su4
烏桕樹,vu1 kiu1 su4
白果樹,pak6 go3 su4
梧桐樹,ng2 tung2 su4
茶樹,ca2 su4
油茶樹,yiu2 ca2 su4
棕櫚樹,zung1 li1 su4
樟樹,zong1 su4
車桐竹,ca1 tung2 zuk5
竹根,zuk5 gin1
竹衣,zuk5 yi1
竹筍,zuk5 sun3
篾仔,miet6 zai3
書友草,su1 yiu1 cau3
榔箕,long1 gi1
溜苔,liu1 toi2
蘆茅,lu2 mau2
樹桍,su4 ka1
樹尾,su4 mui1
樹頭,su4 teu2
樹葉,su4 yap6
粽葉,zung4 yap6
裹粽葉,go3 zung4 yap6
杉樹,cam4 su4
柏樹,pak5 su4
松樹,cung2 su4
松雞角,cung2 gai1 gok5
松毛,cung2 mau1
松光仁,cung2 gong1 yin2
樹膠,su4 gau1
木頭,muk5 teu2
頭牲,teu2 sang1
水牛,sui3 ngiu2
黃牛,vong2 ngiu2
牛牯,ngiu2 gu1
牛嫲,ngiu2 ma2
牛仔,ngiu2 zai3
牛角,ngiu2 gok5
羊牯,yong2 gu3
羊嫲,yong2 ma2
羊仔,yong2 zai3
豬牯,zu1 gu3
豬家,zu1 ga1
豬嫲,zu1 ma2
肉豬,ngiuk5 zu1
豬仔,zu1 zai3
養豬仔,yong1 zu1 zai3
走水,zeu3 sui3
狗牯,geu3 gu3
狗嫲,geu3 ma2
狗牸,geu3 ci4
貓牯,miau4 gu3
貓嫲,miau4 ma2
貓牸,miau4 ci4
貓起群,miau4 hi3 kiun2
雞公,gai1 gung1
雞嫲,gai1 ma2
雞僆,gai1 lon4
閹雞,yam1 gai1
雞仔,gai1 zai3
賴伏雞嫲,lai4 pu4 gai1 ma2
雞春,gai1 cun1
雞胗,gai1 kin1
生春,sang1 cun1
打踏,da3 tap6
野性,ya1 sin4
老虎,lau4 fu3
獅子,su1 zu3
狐狸,fu2 li2
猴哥,heu2 go1
馬騮,ma1 liu1
兔仔,tu4 zai3
老鼠,lau4 cu3
鳥仔,diau1 zai3
鳥銃,diau1 cung1
禾鷝子,vo2 bit5 zai3
鴉鵲,a1 siak5
老鴉,lau3 a1
雁鵝,ngan4 ngo2
鷂婆,yau4 po2
牙鷹,nga2 yin1
貓頭鳥,miau4 teu2 diau1
燕仔,yen4 zai3
蝠婆,pit6 po2
蚊鼠,mun1 cu3
白鴿,pak6 gap5
月鴿,ngiet6 gap5
鷯哥,liau4 go1
腳爪,giok5 zau3
蝲蜞,la2 kia2
蟻公,li1 gung1
蟻子,li1 zu3
蟲蚿,cung2 hien3
蜈蚣蟲,ng2 gung1 cung2
硬殼蟲,ngang4 hok5 cung2
壁蛇,biak5 sa2
鳥蠅,vu1 yin2
牛鳥蠅,ngiu2 vu1 yin2
齧仔,ngat5 zai3
乾蜱,gon1 bi1
狗虱,geu3 sit5
虱嫲,sit5 ma2
黃曱,vong2 cat6
黃蜊,vong2 li1
知焱,zi1 yam4
蝴蝶,fu2 tiap5
豹虎哥,bau4 fu3 go1
蜢公,mang3 gung1
火焰蟲,fo3 yam4 cung2
蜜仔,mit6 zai3
禾蜂,vo2 fung1
草織,cau3 git5
鯰哥仔,ngiam4 go1 zai3
蛤蟆,ha2 ma2
蟾蜍,kiem2 su2
蠶蟲,cam2 cung2
烏龜,vu1 gui1
腳魚,giok5 ng2
蝦公,ha2 gung1
湖鰍,fu2 ciu1
蛇哥,sa2 go1
湖蜞,fu2 ki2
吔螺蟲,ye2 lo2 cung2
冷蜞,lang1 ki2
老蟹,lau4 hai3
石螺,sak6 lo2
田螺,tien2 lo2
黃鱔,vong2 sien1
鯉嫲,li1 ma2
鯽魚,zit5 ng2
屋下,vuk5 ka1
挑地腳,tiau1 ti4 giok5
舂籬,zung1 li2
磚碌,zon1 luk5
泥磚,lai2 zon1
瓦析,nga3 sak5
上樑,song3 liong2
屋簷,vuk5 yam2
柱躉,cu1 dun3
間肚,gan1 du3
正廳,zin4 tiang1
偏廳,pien1 tiang1
天井,tien1 ziang3
壁頭,biak5 teu2
窗門,cung1 mun2
側門,zet5 mun2
門檻,mun2 kiam1
門搭,mun2 dap5
門弄,mun2 lung4
天棚,tien1 pang2
欄河,lan2 ho2
石級,sak6 gap5
樓梯,leu2 toi1
陡梯,deu3 toi1
廚房,cu2 fong2
灶下,zau4 ha1
煙囪銜,yen1 cung1 ham2
打灶頭,da3 zau4 teu2
屎坑,si3 hang1
廁所,ci4 so3
角落頭,gok5 lok6 teu2
窿空,lung2 kung1
雞竇,gai1 deu4
雞籠,gai1 lung1
雞塒,gai1 zi4
豬欄,zu1 lan2
牛欄,ngiu2 lan2
傢俬,ga1 su1
桌頭,zok5 teu2
交椅,gau4 yi3
條凳,ban3 den4
書桌,su1 zok5
拖箱,to1 siong1
眠床,min2 cong2
竹席,zuk5 ciak6
草席,zau3 ciak6
枕頭,zim3 teu2
冷線,lang1 sien1
蚊帳,min1 zong4
窗簾,cung1 liam2
面盆,mien4 pun2
手巾,siu3 gin1
番鹼,fan1 gan3
梳仔,so1 zai3
牙刷,nga2 sot5
牙擦,nga2 cat5
牙膏,nga2 gau1
勺嫲,sok6 ma2
葫蘆杓,pu2 lu2 sok6
擂搥,lui2 cui2
水缸,sui3 gong1
缽頭,bat5 teu2
罌哥,ang1 go1
茶盅,ca2 zung1
沸水壼,bui4 sui3 fu2
茶壼,ca2 fu2
暖壼,lon1 fu2
調羹,ci2 gang1
飯勺,fan4 sok6
筷子,kai4 zu3
火炭,fo3 tan4
火灰,fo3 foi1
爐墩,lu2 dun3
火桶,fo3 tung3
火爐,fo3 lu2
起火,hi3 fo3
鑊頭,vok6 teu2
鑊蓋,vok6 goi4
鍋鏟,vok6 can3
鍋癆,vok6 lau1
砧板,ziem1 ban3
刀嫲,dau2 ma2
蒸籠,zin1 lung2
飯甑,fan4 zen4
筲箕,sau4 gi1
撈箕,lau2 gi1
鑊掃,vok6 sau4
桌帕,zok5 pa4
火柴,fo3 cai2
煙筒,yen1 tung2
水煙筒,sui3 yen1 tung2
電筒,tien4 tung2
電火,tien4 fo3
蠟蠋,lap6 zuk5
電油,tien4 yiu2
火水,fo3 sui3
尿桶,ngiau4 tung3
尿角,ngiau4 gok5
痰筒,tam2 tung2
吊桶,diau4 tung3
鎖匙,so3 si2
鎖頭,so3 teu2
蓑衣,so1 yi1
笠嫲,lip5 ma2
掃杆,sau4 gon3
掃把,sau4 ba3
竹篙,zuk5 gau1
丫叉,a1 ca1
丫叉仔,a1 ca1 zai3
拐掍,gai3 gun4
罍仔,lui3 zai3
釣檳,diau4 bin1
傢生,ga1 sang1
錘仔,cui2 zai3
鉆仔,zon4 zai3
斧頭,bu3 teu2
鉗仔,kiam2 zai3
鑿仔,cok6 zai3
鋸仔,gi4 zai3
銼刀,co4 tau2
刨仔,pau2 zai3
鉤仔,geu1 zai3
鐵釘,tiet5 dang1
剪刀,zien3 dau1
頂指,din3 zi3
衣車,yi1 ca1
邊唇,bien1 sun2
開坼,hoi1 cak5
衫褲,sam1 fu4
剪布,zien3 bu4
烏布,vu1 bu4
面衫,mien4 sam1
恤衫,sut6 sam1
底衫,dai3 sam1
襖婆,au3 po2
背搭,boi4 dap5
大褸,tai4 leu1
冷衫,lang1 sam1
被肉,pi1 ngiuk5
背心,boi4 sim1
短褲,don3 fu4
褲腳,fu4 giok5
褲襠,fu4 long4
開襠褲,hoi1 long4 fu4
密襠褲,mit6 long4 fu4
衫袖,sam1 ciu4
衫領,sam1 liang1
衫袋,sam1 toi4
啪扭,bak6 leu3
紐仔,leu3 zai3
結針,giet5 zim1
帽仔,mau4 zai3
草帽,cau3 mau4
拖鞋,to1 hai3
水鞋,sui3 hai2
鞋底,hai2 dai3
手襪,siu3 mat5
手巾仔,siu3 gin1 zai3
頸巾,giang3 gin1
口水枷,heu3 sui3 ga1
圍裙,vui2 sin1
肚搭,du3 dap5
尿片,ngiau4 pien4
燙斗,tong4 deu3
肚胈餓,du3 pat6 ngo4
麵粉,mien4 fun3
舊飯,kiu4 fan4
粥飲,zuk5 yim3
飯癩,fan4 lat5
食飯,sit6 fan4
食茶,sit6 ca2
食酒,sit6 ziu3
米酒,mi3 ziu3
燒酒,sau1 ziu3
黃酒,vong2 ziu3
糯米酒,lo4 mi3 ziu3
酒娘,ziu3 ngiong2
糟嫲,zau1 ma2
茶葉茶,ca2 yap6 ca2
煙仔,yen1 zai3
食煙,sit6 yen1
煙灰,yen1 foi1
食朝,sit6 zau1
食晝,sit6 ziu4
食夜,sit6 ya4
舀飯,yau3 fan4
豬肉,zu1 ngiuk5
瘦肉,seu4 ngiuk5
精豬肉,ziang1 zu1 ngiuk5
臘肉,lap6 ngiuk5
豬蹄,zu1 tai2
豬肝,zu1 gon1
豬舌嫲,zu1 set6 ma2
豬紅,zu1 fung2
豬旺,zu1 vong4
下水,ha4 sui3
夾菜,gap5 coi4
淘飯,tau2 fan4
豆腐乾,teu4 fu4 gon1
豆腐,teu4 fu4
豆腐花,teu4 fu4 fa1
豆腐霉,teu4 fu4 moi1
萊絲仔,loi2 su1 zai3
打胲約,da3 goi1 yok5
打呃督,da3 et6 duk6
雪糕,siet5 gau2
雪條,siet5 tiau2
饅頭,man2 teu2
包仔,bau1 zai3
餃子,gau3 zu3
雲吞,vun2 tun1
雪丸板,siet5 yen2 ban3
糖丸,tong2 yen2
餈粑,ci2 ba1
裹粽,go3 zung4
小口,siau3 heu3
茶果,ca2 go3
點心,diam3 sim1
宵夜,siau1 ya4
配料,pui4 liau4
豬油,zu1 yiu2
麻油,ma2 yiu2
黃糖,vong2 tong2
白糖,pak6 tong2
麻糖,ma2 tong2
糖仔,tong2 zai3
豉油,si4 yiu2
蜜糖,mit6 tong2
身魁,sin1 foi1
頭那,teu2 la1
光頭,gong1 teu2
頭那毛,teu2 la1 mau1
毛辮仔,mau1 bien1 zai3
頭鱗,teu2 lin1
頭皮,teu2 pi2
酒凹,ziu3 ngiap5
額門頭,ngiak5 mun2 teu2
梅子罌,moi2 zu1 ang1
腦囟,lau3 sim4
眼珠仁,ngan3 zu1 yin2
眼汁,ngan3 zip5
目睡毛,muk5 soi4 mau1
眼眉毛,ngan3 mi2 mau1
鼻公,pi4 gung1
鼻窿,pi4 lung1
鼻膿,pi4 lung2
擤鼻膿,sen4 pi4 lung2
鼻屎,pi4 si3
耳公,ngi3 gung1
耳屎,ngi3 si3
嘴角,zoi3 gok5
嘴唇,zoi4 sun2
舌嫲,set6 ma2
大牙,tai4 nga2
暴牙,pau4 nga2
牙床肉,nga2 cong1 ngiuk5
牙黃,nga2 vong2
鬚牯,si1 gu3
頦啱下,goi1 ngam1 ha1
口水,heu3 sui3
喉連,heu2 lien2
肩頭,gien1 teu2
心肝頭,sim1 gon1 teu2
背樑,boi4 long2
肋梗仔,lak6 gang1 zai3
打赤膊,da3 cak5 bok5
手臂,siu3 bi3
手踭,siu3 zang1
脈門,mak5 mun2
左手,zo3 siu3
右手,yiu4 siu3
手巴掌,siu3 ba1 zong3
拳頭牯,kien2 teu2 gu3
手指仔,siu3 zi3 zai3
手指公,siu3 zi3 gung1
臘尾指,lap6 mui1 zi3
手指甲,siu3 zi3 gap5
肋坼下,lak6 cak5 ha1
嬭姑,len4 gu1
嬭頭,len4 teu2
嬭水,len4 sui3
肚胈,du3 pat6
肚臍,du3 ci2
屎窟臀,si3 fut5 tun2
屎窟門,si3 fut5 mun2
打脧鳥,da3 zoi1 diau1
髀罅,bi3 la4
褲襠下,fu4 long4 ha1
春袋,cun1 toi4
核卵,hak6 lon3
卵屎,lin3 si3
支屄,zi1 biet5
大髀,tai4 bi3
膝頭,cit5 teu2
腳囊肚,giok5 lang2 du3
腳眼仁,giok5 ngan3 yin2
腳踭,giok5 zang1
腳趾,giok5 zi3
腳盤,giok5 pan2
腳板心,giok5 ban3 sim1
腳跡,giok5 ziak5
老哥,lau3 go1
婦娘,bu1 ngiong2
老人家,lau3 ngin2 ga1
老伯頭,lau3 bak5 teu2
老婆頭,lau3 po2 teu2
後生,heu4 sang1
妹仔,moi4 zai3
後生仔,heu4 sang1 zai3
僬仔,ziau2 zai3
老弟仔,lau3 tai1 zai3
城市人,sang2 si4 ngin2
鄉下人,hiong1 ha4 ngin2
單身哥,dan1 sin1 go1
老姑婆,lau3 gu1 po2
守寡婆,siu3 ga3 po2
冇爺冇娭,mau2 ya2 mau2 oi1
孤兒,gu1 yi2
單眼,dan1 ngan3
眯眼,mi1 ngan3
爆眼,bau4 ngan3
對眼,dui4 ngan3
盲公,mang2 gung1
聾公,lung1 gung1
啞佬,a3 lau3
大舌頭,tai4 set6 teu2
結佬,giet5 lau3
缺嘴,kiet6 zoi4
缺牙,kiet5 nga2
側頭仔,zet5 teu2 zai3
左手仔,zo3 siu3 zai3
鴨嫲蹄,ap5 ma2 tai2
肥佬,pui2 lau3
高佬,gau1 lau3
爆牙,bau4 nga2
班支,ban1 zi1
瘌痢頭,lat6 li2 teu2
六指,luk5 zi3
駝背佬,to2 boi4 lau3
叫包,giau4 bau2
懵佬,mung3 lau3
跛佬,bai1 lau3
傻佬,so2 lau3
撮仔,cot5 zai3
賊佬,cet6 lau3
攞食佬,lo3 sit5 lau3
契家佬,ke4 ga1 lau3
契家婆,ke4 ga1 po2
佮人,gap5 ngin2
老妓嫲,lau3 gi3 ma2
在行,cai4 hong2
唔在行,m1 cai4 hong2
伙頭,fo3 teu2
耕田佬,gang1 tien2 lau3
木匠,muk6 siong4
斣木佬,deu4 muk5 lau3
打鐵佬,da3 tiet5 lau3
醫生,yi1 sang1
剃頭佬,tai4 teu2 lau3
泥水匠,lai2 sui3 siong4
生理佬,sen1 li1 lau3
生保人,sang1 bau3 ngin2
人客,ngin2 hak5
有性,yiu1 siang4
小相,siau3 siong4
大方,tai4 fong1
捨得,sa3 det5
能替,lien2 tai4
勤力,kin2 lit6
慳儉,han1 kiam4
爽直,song3 cit6
牛王,ngiu2 vong2
刻簿,ket5 pok6
陰毒,yim1 tuk6
蠱惑,gu3 vak6
好心,hau3 sim1
老實,lau3 sit6
唔聲,m1 sang1
畏羞,vui4 siu1
可憐,ko3 lien2
齊整,ce2 zin1
就亼,ciu4 zip6
累贅,lui4 zui4
囉嗦,lo4 so4
聽話,tang4 va4
頑皮,ngan2 pi2
硬頸,ngang4 giang3
偷懶,teu1 lan1
磨嗦,mo4 so4
賴死,lai4 si3
下流,ha4 liu2
唔愛面,m1 oi4 mien4
講大話,gong3 tai4 va4
詐懵,za4 mung3
阿爸,a1 ba1
阿媽,a1 ma1
阿咪,a1 mi1
阿㜆阿爸,a1 mi1 a1 ba1
阿公,a1 gung1
阿婆,a1 po2
公太,gung1 tai4
婆太,po2 tai4
姐公,zia3 gung1
姐婆,zia3 po2
阿伯,a1 bak5
阿娘,a1 ngiong2
阿叔,a1 suk5
叔姆,suk5 me1
姑丈,gu1 cong1
姑爺,gu1 ya2
大姑,tai4 gu1
姑仔,gu1 zai3
姨丈,yi2 cong1
大姨,tai4 yi2
姨仔,yi2 zai3
大舅,tai4 kiu1
舅仔,kiu1 zai3
大舅娘,tai4 kiu1 ngiong2
舅娘仔,kiu2 ngiong2 zai3
阿哥,a1 go1
阿嫂,a1 sau3
阿姐,a1 zia3
姐夫,zia3 fu1
老弟,lau3 tai1
老妹,lau3 moi4
老妹婿,lau3 moi4 se4
大伯爺,tai4 bak5 ya2
叔仔,suk5 zai3
大姑,dai4 gu1
老襟,lau1 kim1
子嫂,zu3 sau3
老公,lau3 gung1
老婆,lau3 po2
丈人佬,cong1 ngin1 lau3
丈人婆,cong1 ngin1 po2
家官,ga1 gon1
家娘,ga1 ngiong2
親家,cin1 ga1
且姆,cia1 me1
繼父爺,ge4 fu1 ya2
後娭,heu4 oi1
契爺,ke4 ya2
契媽,ke4 ma2
子女,zu3 ng3
賴子,lai4 zu1
滿仔,man1 zai3
心臼,sim1 kiu1
妹子,moi4 zu1
滿女,man1 ng3
婿郎,se4 long2
孫仔,sun1 zai3
孫女,sun1 ng3
息子,set5 zu1
外孫,ngoi4 sun1
外孫女,ngoi4 sun1 ng3
外甥,ngoi2 sang1
外甥女,ngoi2 sang1 ng3
侄仔,cit5 zu3
侄女,cit5 ngi3
兩子爺,liong3 zu3 ya2
兩公婆,liong3 gung1 po2
兄弟,hiung1 ti4
姊妹,zi3 moi4
兩兄弟,liong3 hiung1 ti4
兩姊妹,liong3 zi3 moi4
叔伯兄弟,suk5 bak5 hiung1 ti4
表姊妹,biau3 zi3 moi4
親戚,cin1 cit5
字輩,su4 bui4
花名,fa1 miang2
做媒人,zo4 moi2 ngin2
媒人婆,moi2 ngin2 po2
定婚,tin4 fun1
娶老婆,ci3 lau3 po2
嫁老公,ga4 lau3 gung1
娶心臼,ci3 sim1 kiu1
招郎入舍,zau1 long2 ngip5 sa4
新娘公,sin1 long2 gung1
新娘,sin1 ngiong2
做酒,zo4 ziu3
妹家,moi4 ga1
返嫁,fan1 ga4
再娶,cai4 ci3
大肚胈,tai4 du3 pat6
發子,bot5 zu3
損身,sun3 sin1
小產,siau3 can3
大肚婆,tai4 du3 po2
打斗,da3 deu3
養阿伢,yong1 o1 nga2
養唔出,yong1 m1 cut5
接生,ziap5 sang1
胞衣,bau1 yi1
孖仔,ma1 zai3
阿伢,o1 nga2
做月,zo4 ngiet6
供嬭,giung4 len4
飼飯,ci3 fan4
𢆡頭仔,len4 teu2 zai3
嬭嘴,len4 zui3
兜尿,deu1 ngiau4
瀨尿,lai2 ngiau4
擯屎,bin3 si3
短命,don3 miang4
吊頸,diau4 giang3
投河,teu2 ho2
病死嗨,piang4 si3 hoi1
過身,go4 sin1
老嗨,lau3 hoi1
做白事,zo4 pak6 su4
棺材,gon1 coi2
入殮,ngip6 liam1
送葬,sung4 zong4
溪錢,kai1 cien2
棺材佬,gon1 coi2 lau3
爆仗,bau4 cong4
墳頭,fun2 teu2
碑石,bi1 sak6
掛山,ga4 san1
病嗨,piang4 hoi1
難頂,lan2 din3
發燒,fat5 sau1
發冷,bot5 lang1
發呆,fat5 ngoi2
打陣冥,da3 cin3 min3
傷風,song1 fung1
發大冷,bot5 tai4 lang1
吃吃震,git6 git6 zun1
發呷,bot5 hap5
冷倒,lang1 dau3
發痧,bot5 sa1
熱氣,ngiet6 hi4
作嘔,zok5 eu1
屙屎唔出,o1 si3 m1 cut5
肚胈屙,du3 pat6 o1
唔消化,m1 siau1 fa4
頭那暈,teu2 la1 vin2
抽筋,ciu4 gin1
著驚,cok6 giang1
喊同年,ham4 tung2 ngien2
出麻仔,cut5 ma2 zai3
發死,bot5 si3
發癱風,bot5 tan1 fung1
發癆嗽,bot5 lau2 seu1
發黃腫,bot5 vong2 zung3
發痤仔,bot5 coi2 zai3
熱痱,ngiet5 mui3
長球,zong3 kiu2
貢膿,gung4 lung2
結庀,giet5 pi3
狐忽臊,fu2 fit6 sau1
