char,pron
家長制,ga1 zöng2 zäi1
解毒藥,gai2 duk6 yök6
解吸,gai2 käp2
解嘲,gai2 zau1
隔籬班,gæk2 li4 bæng1
奸惡,gæng1 ok2
鹼度,gæng2 du6
感覺點,gäm2 gok2 dim2
錦衣玉食,gäm2 yi1 yuk6 säk6
近郊區,gäng6 gau1 kü1
近義詞,gäng6 yi6 ci4
粳米,gäng1 mai1
久病成醫,gäu2 beng6 säng4 yi1
狗尾續貂,gäu2 mi1 zuk6 diu1
救苦救難,gäu1 fu2 gäu1 næng6
幾十種,gi2 säp6 zung2
經歷風雨,gäng1 läk6 fung1 yü1
驚歎不已,gäng1 tæng1 bäk2 yi1
乾薑,gung1 göng1
乾一杯,gung1 yäk2 bui1
江湖情,gong1 wu4 cäng4
高才生,gäu1 cöi4 sæng1
古井無波,gwu2 zäng2 mu4 bo1
官學生,gwung1 hok6 sæng1
功成名就,gung1 säng4 mäng4 zäu6
瓜子口面,gwa1 zi2 häu2 ming6
掛慮,gwa1 lü6
鬼使神差,gwäi2 si2 säng4 cai1
貴幹,gwäi1 gwung1
跪伏,gwäi6 fuk6
下腹部,ha6 fuk2 bu6
下咽,ha6 ying1
行開行埋,hæng4 fui1 hæng4 mai4
刻意為之,häk2 yi1 wäi4 zi1
核大國,häk6 dai6 gwok2
核桃仁,häk6 täu4 yäng4
輕食,häng1 säk6
好多節目,häu2 do1 zik2 muk6
好牽強,häu2 hing1 köng1
好相與,häu2 söng1 yü1
毫針,häu4 zäm1
淫樂,yäm4 lok6
恩斷義絕,yäng1 düng6 yi6 zük6
印度音樂,yäng1 du6 yäm1 ngok6
仁人志士,yäng4 yäng4 zi1 si6
一兩度,yäk2 löng1 du6
一馬平川,yäk2 ma1 päng4 cüng1
油灰,yäu4 fui1
油漏,yäu4 läu6
惹痰,ye1 tam4
二十四史,yi6 säp6 si1 si2
鹽井,yim4 zäng2
驗核,yim6 häk6
延經,ying4 gäng1
形聲字,yäng4 säng1 zi6
形成層,yäng4 säng4 cäng4
欲經,yuk6 gäng1
擁軍,yung2 gwäng1
魚肚白,yü4 tu1 bæk6
語聲,yü1 säng1
卡式機,ka1 säk2 gi1
祈使句,ki4 si2 gü1
企一齊,ki1 yäk2 cäi4
傾下傾下,käng1 ha1 käng1 ha1
卻為,kök2 wäi4
爛好人,læng6 häu2 yäng4
留言簿,läu4 ying4 bu2
留話,läu4 wa6
李龍基,li1 lung4 gi1
李泳豪,li1 wäng6 häu4
壘球隊,löi1 käu4 döi6
兩下子,löng1 ha1 zi2
兩三層,löng1 sam1 cäng4
兩頭走,löng1 täu4 zäu2
兩則,löng1 zäk2
來行去,löi4 hæng4 hü1
魯班鎖,lu1 bæng1 so2
老襯亭,läu1 cäng1 täng4
老煙槍,läu1 ying1 cöng1
碌人情卡,luk2 yäng4 cäng4 kæk2
龍山隧道,lung4 sæng1 söi6 däu6
弄瓦之喜,lung6 nga1 zi1 hi2
唔等使,m4 däng2 säi2
乜劇,mäk2 kek6
微觀經濟,mi4 gwung1 gäng1 zäi1
未行過,mi6 hæng4 gwo1
味同嚼蠟,mi6 tung4 zök2 lap6
面臨困難,ming6 läm4 kwäng1 næng4
滅絕種族,mik6 zük6 zung2 zuk6
秒差距,miu1 ca1 kü1
望文生義,mong6 mäng4 säng1 yi6
無話不談,mu4 wa6 bäk2 tam4
母乳代,mu1 yü1 döi6
武藝高強,mu1 ngäi6 gäu1 köng4
木釘,muk6 deng1
沐浴油,muk6 yuk6 yäu4
滿負荷,mung1 fu6 ho6
滿腹經綸,mung1 fuk2 gäng1 läng4
沒大改變,muk6 dai6 gwui2 bing1
沒大沒小,muk6 dai6 muk6 siu2
沒有差別,muk6 yäu1 ca1 bik6
哪次,na1 ci1
那枚,na1 mui4
女中音,nü1 zung1 yäm1
五番,ng1 fæng1
五行欠水,ng1 häng4 him1 söi2
五行缺水,ng1 häng4 kük2 söi2
五蛇羹,ng1 se4 gäng1
啱啱先至,ngam1 ngam1 sing1 zi1
硬紙板,ngæng6 zi2 bæng2
膿泡,nung4 pau1
暖氈,nüng1 zing1
安步當車,wung1 bu6 dong1 gü1
安安樂樂,wung1 wung1 lok6 lok6
按時完成,wung1 si4 yüng4 säng4
拍爛手,pæk2 læng6 säu2
拋生藕,pau1 sæng1 ngäu1
片彎,ping2 wæng1
拼圖遊戲,päng1 tu4 yäu4 hi1
旁遮普省,pong4 ze1 pu2 sæng2
三寸釘,sam1 cüng1 deng1
三角測量,sam1 gok2 cäk2 löng4
三角錐,sam1 gok2 zöi1
山崩地裂,sæng1 bäng1 di6 lik6
山村道,sæng1 cüng1 däu6
山巒起伏,sæng1 lüng4 hi2 fuk6
深更半夜,säm1 gäng1 bung1 ye6
神仙肚,säng4 sing1 tu1
腎盂,säng6 yü4
生命徵象,säng1 mäng6 zäng1 zöng6
生悶氣,säng1 mung6 hi1
生活設施,säng1 wuk6 cik2 si1
十幾個月,säp6 gi2 go1 ngük6
成日都做,seng4 yäk6 du1 zu6
成世仔,seng4 säi1 zäi2
水車館,söi2 ce1 gwung2
水蛇腰,söi2 se4 yiu1
碎片化,söi1 ping2 fa1
廝打,si1 da2
食飽未,säk6 bau2 mi6
食到應,säk6 däu1 yäng1
食狗屎,säk6 gäu2 si2
食水幾深,säk6 söi2 gi2 säm1
鮮明個性,sing1 mäng4 go1 säng1
線速度,sing1 cuk2 du6
性冷淡,säng1 læng1 dam6
乘便,säng4 bing6
乘興而來,säng4 häng1 yi4 löi4
攝高枕頭,sip2 gäu1 zäm2 täu4
攝牙罅,sip2 nga4 la1
燒餅油條,siu1 beng2 yäu4 tiu4
小麥胚芽,siu2 mæk6 pui1 nga4
削平,sök2 päng4
想點都得,söng2 dim2 du1 däk2
上一步,söng6 yäk2 bu6
上水鄉,söng6 söi2 höng1
數三聲,su2 sam1 säng1
送機尾,sung1 gi1 mi1
舒張壓,sü1 zöng1 æk2
貪吃鬼,tam1 hek2 gwäi2
頭暈身熱,täu4 wäng4 säng1 ngik6
天然毒素,ting1 ying4 duk6 su1
天理難容,ting1 li1 næng4 yung4
挑揀,tiu1 gæng2
拓拔,tok2 bäk6
湯殼,tong1 hok2
湯類,tong1 löi6
吐魯番,tu1 lu1 fæng1
桃膠,täu4 gau1
陶樂,täu4 lok6
斷擔挑,tüng1 dam1 tiu1
畫押,wæk6 æk2
灣仔峽,wæng1 zäi2 hap6
患難之交,wæng6 næng6 zi1 gau1
遺傳物質,wäi4 cüng4 mäk6 zäk2
惠更斯,wäi6 gäng1 si1
為人作嫁,wäi6 yäng4 zok2 ga1
衞理道,wäi6 li1 däu6
運行狀況,wäng6 häng4 zong6 fong1
黃家強,wong4 ga1 köng4
黃梅戲,wong4 mui4 hi1
胡話,wu4 wa6
互相監督,wu6 söng1 gam1 duk2
回力球,wui4 läk6 käu4
針法,zäm1 fæk2
周波,zäu1 bo1
隻言片語,zek2 ying4 ping1 yü1
精乖伶俐,zeng1 gwai1 läng4 li6
精乖靈利,zeng1 gwai1 läng4 li6
自學成才,zi6 hok6 säng4 cöi4
尖子生,zim1 zi2 säng1
煎炸食品,zing1 za1 säk6 bäng2
墊背,zing1 bui1
張量,zöng1 löng6
贓車,zong1 ce1
中古車,zung1 gwu2 ce1
縱情聲色,zung1 cäng4 säng1 säk2
轉眼即逝,züng2 ngæng1 zik2 säi6
轉悠,züng1 yäu4
刻薄寡恩,hæk2 bok6 gwa2 yäng1
異性相處,yi6 säng1 söng1 cü1
鴨片,ap2 ping2
百彈齋主,bæk2 tæng4 zai1 zü2
白領階級,bæk6 läng1 gai1 käp2
包賠,bau1 pui4
檳榔嶼,bäng1 long4 zü6
不成樣子,bäk2 säng4 yöng6 zi2
不畏強暴,bäk2 wäi1 köng4 bäu6
不足為訓,bäk2 zuk2 wäi4 fäng1
避惡,bi6 ok2
病人衫,beng6 yäng4 sam1
病歷卡,beng6 läk6 kæk2
扁桃體,bing2 täu4 täi2
便覽,bing6 lam1
菠蘿釘,bo1 lo4 deng1
保安道,bäu2 wung1 däu6
補習先生,bu2 zap6 sing1 sæng1
背手,bui1 säu2
半生瓜,bung1 säng1 gwa1
擦網球,cæk2 mong1 käu4
齊奏,cäi4 zäu1
陳松青,cäng4 cung4 cäng1
循環小數,cäng4 wæng4 siu2 su1
出難題,cäk2 næng4 täi4
黐飲黐食,ci1 yäm2 ci1 säk6
刺字,ci1 zi6
磁卡,ci4 kæk2
千差萬別,cing1 ca1 mæng6 bik6
淺水灣道,cing2 söi2 wæng1 däu6
前途無量,cing4 tu4 mu4 löng6
卓有成效,cök2 yäu1 säng4 hau6
長鬚鯨,cöng4 su1 käng4
菜頭菜尾,cöi1 täu4 cöi1 mi1
粗估,cu1 gwu2
松仔園,cung4 zäi2 yüng4
寸斷,cüng1 düng6
傳抄,cüng4 cau1
存摺簿,cüng4 zip2 bu2
打岔,da2 ca1
打秋風,da2 cäu1 fung1
打電報,da2 ding6 bäu1
打倒褪,da2 däu1 täng1
打估,da2 gwu2
打躬作揖,da2 gung1 zok2 yäp2
打拱作揖,da2 gung2 zok2 yäp2
打手語,da2 säu2 yü1
打算盤,da2 süng1 pung4
打旋,da2 süng4
帶兩梳蕉,dai1 löng1 so1 ziu1
大明湖,dai6 mäng4 wu4
彈弓指,dæng6 gung1 zi2
第二面,däi6 yi6 ming6
滴溜溜,däk6 läu6 läu6
電解液,ding6 gai2 yäk6
袋裝書,döi6 zong1 sü1
嘟嘟車,du1 du1 ce1
都勻,du1 wäng4
倒把,däu2 ba2
倒懸,däu1 yüng4
道牙,däu6 nga4
東半球,dung1 bung1 käu4
斷搶,düng1 cöng2
花心大少,fa1 säm1 dai6 siu2
化油器,fa1 yäu4 hi1
化為泡影,fa1 wäi4 pau1 yäng2
犯得着,fæng6 däk2 zök6
飛機老鼠,fi1 gi1 läu1 sü2
呼朋引伴,fu1 päng4 yäng1 bung6
婦女主任,fu1 nü1 zü2 yäm6
輻射線,fuk2 se6 sing1
福華街,fuk2 wa4 gai1
縫起,fung4 hi2
假人像,ga2 yäng4 zöng6
街市仔,gai1 si1 zäi2
減壓病,gam2 æk2 beng6
簡單明瞭,gæng2 dæng1 mäng4 liu1
交接班,gau1 zip2 bæng1
攪混,gau2 wäng6
教研室,gäu1 ying4 säk2
禁止停車,gäm1 zi2 täng4 ce1
近廚得食,gäng6 cü4 däk2 säk6
羹湯,gäng1 tong1
機艙老鼠,gi1 cong1 läu1 sü2
寄生物,gi1 säng1 mäk6
舉案齊眉,gü2 wung1 cäi4 mi4
堅忍不拔,ging1 yäng1 bäk2 bäk6
驚歎號,gäng1 tæng1 häu6
趕鴨仔,gwung2 ap2 zäi2
公正不阿,gung1 zäng1 bäk2 o1
寡淡,gwa2 dam6
掛號費,gwa1 häu6 fäi1
貴寶號,gwäi1 bäu2 häu6
骨肉相連,gwäk2 yuk6 söng1 ling4
下頜骨,ha6 häp6 gwäk2
下中農,ha6 zung1 nung4
喊生喊死,ham1 sæng1 ham1 si2
坑尾村,hæng1 mi1 cüng1
口輕,häu2 heng1
吃奶之力,hek2 nai1 zi1 läk6
牽強附會,hing1 köng1 fu6 wui6
輕巧方便,häng1 hau2 fong1 bing6
輕慢,häng1 mæng6
輕省,häng1 sæng2
香港卡,höng1 gong2 kæk2
韓國話,fung4 gwok2 wa2
汗青,fung6 cäng1
康樂路,hong1 lok6 lu6
好氣色,häu2 hi1 säk2
好唔好過,häu2 m4 häu2 gwo1
好削,häu2 sök2
好為人師,häu1 wäi4 yäng4 si1
哭靈,huk2 läng4
紅墨水,hung4 mäk6 söi2
陰錯陽差,yäm1 co1 yöng4 ca1
人哋可能,yäng4 di1 ho2 näng4
人地生疏,yäng4 di6 säng1 so1
人參果,yäng4 säm1 gwo2
一般貿易,yäk2 bung1 mäu6 yäk6
一兩架,yäk2 löng1 ga1
一脈相傳,yäk2 mæk6 söng1 cüng4
一線之間,yäk2 sing1 zi1 gæng1
一字不差,yäk2 zi6 bäk2 ca1
逸話,yäk6 wa6
邱士縉,yäu1 si6 zäng1
油頁岩,yäu4 yip6 ngam4
有載,yäu1 zöi2
依山傍水,yi1 sæng1 bong6 söi2
意氣相投,yi1 hi1 söng1 täu4
耳釘,yi1 deng1
二等車,yi6 däng2 ce1
二項,yi6 hong6
二十億,yi6 säp6 yäk2
櫻桃蘿蔔,yäng1 täu4 lo4 bæk6
葉聖陶,yip6 säng1 täu4
搖電話,yiu4 ding6 wa2
藥師經,yök6 si1 gäng1
玉米糖漿,yuk6 mai1 tong4 zöng1
玉成其事,yuk6 säng4 ki4 si6
擁擠不堪,yung2 zäi1 bäk2 häm1
祈請,ki4 cäng2
奇解,ki4 gai2
其樂融融,ki4 lok6 yung4 yung4
懶懶散散,læng1 læng1 sæng2 sæng2
爛頭蟀,læng6 täu4 säk2
撈一把,läu4 yäk2 ba2
李浩然,li1 häu6 ying4
李少光,li1 siu1 gwong1
驢打滾,lü4 da2 gwäng2
鐳射唱片,löi4 se6 cöng1 ping1
領取行李,läng1 cü2 häng4 li1
領角鴞,läng1 gok2 hiu1
聊以自慰,liu4 yi1 zi6 wäi1
量地官,löng4 di6 gwung1
兩頂,löng1 deng2
兩梳蕉,löng1 so1 ziu1
樂清,lok6 cäng1
落花生,lok6 fa1 säng1
老辣,läu1 læk6
老馬識途,läu1 ma1 säk2 tu4
老婆豬,läu1 po4 zü1
老少皆宜,läu1 siu1 gai1 yi4
老想着,läu1 söng2 zök6
老糊塗,läu1 wu4 tu4
弄糟,lung6 zäu1
蔓生,mæng6 säng1
麥齊光,mæk6 cäi4 gwong1
麥德林,mæk6 däk2 läm4
麥克維,mæk6 häk2 wäi4
蜜月假期,mäk6 ngük6 ga1 ki4
物華街,mäk6 wa4 gai1
棉乾絮濕,ming4 gung1 sü1 säp2
眠乾睡濕,ming4 gung1 söi6 säp2
面懵心精,ming6 mung2 säm1 zeng1
莫少聰,mok6 siu1 cung1
網絡成癮,mong1 lok6 säng4 yäng1
望女成鳳,mong6 nü1 säng4 fung6
無心裝載,mu4 säm1 zong1 zöi1
煤球,mui4 käu4
媒質,mui4 zäk2
抹胸,muk2 hung1
那棵,na1 fo2
那匹,na1 päk2
南番順,nam4 pung1 säng6
泥公仔,näi4 gung1 zäi2
伍樂城,ng1 lok6 säng4
啱唔啱先,ngam1 m4 ngam1 sing1
眼都大埋,ngæng1 du1 dai6 mai4
眼見為實,ngæng1 ging1 wäi4 säk6
咬嚼,ngau1 zök2
牛背鷺,ngäu4 bui1 lu6
牛潭尾,ngäu4 tam4 mi1
娥眉月,ngo4 mi4 ngük6
年老力衰,ning4 läu1 läk6 söi1
鳥叫聲,niu1 giu1 säng1
惡德,ok2 däk2
拋繡球,pau1 säu1 käu4
泡開,pau1 fui1
拼到底,päng1 däu1 däi2
平板手機,päng4 bæng2 säu2 gi1
三重唱,sam1 cung4 cöng1
三輪車夫,sam1 läng4 ce1 fu1
三丈,sam1 zöng6
散文詩,sæng2 mäng4 si1
生詞,sæng1 ci4
生雪,sæng1 sük2
使不得,säi2 bäk2 däk2
審度,säm2 dok6
新城病,säng1 säng4 beng6
神經學家,säng4 gäng1 hok6 ga1
生物鐘,säng1 mäk6 zung1
生榮死哀,säng1 wäng4 si2 wui1
十二味,säp6 yi6 mi6
失道寡助,säk2 däu6 gwa2 zo6
死結難解,si2 gik2 næng4 gai2
死於安樂,si2 yü1 wung1 lok6
四散奔逃,si1 sæng1 bäng1 täu4
錫婚,sek2 fäng1
瑞士制,söi6 si6 zäi1
信和中心,säng1 wo4 zung1 säm1
純素食者,säng4 su1 säk6 ze2
絲毫不差,si1 häu4 bäk2 ca1
時刻準備,si4 häk2 zäng2 bi6
時斷時續,si4 tüng1 si4 zuk6
士農工商,si6 nung4 gung1 söng1
食欲不振,säk6 yuk6 bäk2 zäng1
鮮芋仙,sing1 wu6 sing1
性惡論,säng1 ok2 läng6
乘空,säng4 hung1
城市熱島,säng4 si1 ngik6 däu2
成熟點,säng4 suk6 dim2
小米椒,siu2 mai1 ziu1
上釉,söng1 yäu6
上半葉,söng6 bung1 yip6
上竹園,söng6 zuk2 yüng4
船纜,süng4 lam6
塔羅卡,tap2 lo4 kæk2
頭重重,täu4 cung1 cung1
投降書,täu4 hong4 sü1
頭禡,täu4 nga4
踢皮球,tek2 pi4 käu4
挑燈夜戰,tiu1 däng1 ye6 zing1
唾面自乾,to1 ming6 zi6 gung1
拓片,tok2 ping2
湯鎮業,tong1 zäng1 yip6
桃園結義,täu4 yüng4 gik2 yi6
統一規劃,tung2 yäk2 kwäi1 wæk6
話到嘴邊,wa6 däu1 zöi2 bing1
環球化,wæng4 käu4 fa1
屈質,wäk2 zäk2
和風細雨,wo4 fung1 säi1 yü1
胡樂,wu4 ngok6
回覆下,wui4 fuk2 ha1
詐降,za1 hong4
集郵簿,zap6 yäu4 bu2
抓賊,zau2 cäk6
抓姦,zau2 gæng1
擠壓出,zäi1 æk2 cäk2
鄭莉梅,zäng6 li6 mui4
錐蟲病,zöi1 cung4 beng6
序數,zü6 su1
墜子,zöi6 zi2
置之度外,zi1 zi1 du6 wui6
即使間,zik2 si2 gæng1
積習難改,zäk2 zap6 næng4 gwui2
直達車,zäk6 dæk6 ce1
佔下風,zim1 ha6 fung1
徵調,zäng1 diu6
精幹,zäng1 gwung1
精氨酸,zäng1 ong1 süng1
精衞填海,zäng1 wäi6 ting4 fui2
正義道,zäng1 yi6 däu6
政治避難,zäng1 zi6 bi6 næng6
摺皺,zip2 zäu1
朝秦暮楚,ziu1 cäng4 mu6 co2
坐立難安,zo6 läp6 næng4 wung1
嚼蠟,zök2 lap6
作個故仔,zok2 go1 gwu1 zäi2
竹青,zuk2 ceng1
中間名,zung1 gæng1 mäng4
總次數,zung2 ci1 su1
綜上所述,zung1 söng6 so2 säk6
種植業,zung1 zäk6 yip6
著名人物,zü1 mäng4 yäng4 mäk6
轉學生,züng2 hok6 säng1
轉置,züng2 zi1
打爛齋缽,da2 læng6 zai1 buk2
刻苦學習,hæk2 fu2 hok6 zap6
刻意求工,hæk2 yi1 käu4 gung1
凹處,näp2 cü1
即刻扯,zik2 hæk2 ce2
百屌成材,bæk2 diu2 säng4 cöi4
暗轉,äm1 züng2
百般刁難,bæk2 bung1 diu1 næng4
白加士街,bæk6 ga1 si6 gai1
白陶,bæk6 täu4
包頂頸,bau1 däng2 geng2
包皮環切,bau1 pi4 wæng4 cik2
包活,bau1 wuk6
飽食終日,bau2 säk6 zung1 yäk6
崩倒,bäng1 däu2
不情之請,bäk2 cäng4 zi1 cäng2
不經濟,bäk2 gäng1 zäi1
不安分,bäk2 wung1 fäng6
不足為慮,bäk2 zuk2 wäi4 lü6
拔河比賽,bäk6 ho4 bi2 cöi1
拔尖補底,bäk6 zim1 bu2 däi2
病態肥胖,beng6 tai1 fi4 bung6
邊架車,bing1 ga1 ce1
邊卡,bing1 ka1
冰硬,bäng1 ngæng6
冰上運動,bäng1 söng6 wäng6 dung6
表面張力,biu2 ming6 zöng1 läk6
表姪女,biu2 zäk6 nü1
波曲,bo1 kuk2
波力,bo1 läk6
博聞強記,bok2 mäng4 köng4 gi1
背時,bui6 si4
參考書目,cam1 hau2 sü1 muk6
參照系,cam1 ziu1 häi6
產鉗,cæng2 kim4
齊刷刷,cäi4 cak2 cak2
寢食,cäm2 säk6
七旬老人,cäk2 cäng4 läu1 yäng4
七十二行,cäk2 säp6 yi6 hong4
秋老虎,cäu1 läu1 fu2
斜靠,ce4 kau1
催乳激素,cöi1 yü1 gäk2 su1
黐仔,ci1 zäi2
刺戳,ci1 cök2
次生林,ci1 säng1 läm4
青釉,cäng1 yäu6
坐失良機,co1 säk2 löng4 gi1
醋精,cu1 zäng1
衝浪者,cung1 long6 ze2
充炮艇,cung1 pau1 täng1
重抄,cung4 cau1
重荷,cung1 ho6
傳導性,cüng4 däu6 säng1
傳動裝置,cüng4 dung6 zong1 zi1
全副精力,cüng4 fu1 zäng1 läk6
全內反射,cüng4 nöi6 fæng2 se6
打邊鼓,da2 bing1 gwu2
打衝鋒,da2 cung1 fung1
打定底,da2 däng6 däi2
打哈欠,da2 ha1 him1
打孔機,da2 hung2 gi1
打唔打風,da2 m4 da2 fung1
打牙祭,da2 nga4 zäi1
大人大量,dai6 yäng4 dai6 löng6
大人有大量,dai6 yäng4 yäu1 dai6 löng6
大成街,dai6 säng4 gai1
大相公,dai6 söng1 gung1
大潭峽,dai6 tam4 hap6
淡月,dam6 ngük6
單身寡仔,dæng1 säng1 gwa2 zäi2
得道多助,däk2 däu6 do1 zo6
掟球,deng1 käu4
對不上,döi1 bäk2 söng1
點擊數,dim2 gäk2 su1
頂目,däng2 muk6
吊裝,diu1 zong1
倒彩,däu2 cöi2
倒尿,däu2 niu6
倒運,däu2 wäng6
讀寫能力,duk6 se2 näng4 läk6
東便,dung1 bing6
翻攪,fæng1 gau2
番木瓜,fæng1 muk6 gwa1
葷腥,fäng1 säng1
訓讀,fäng1 duk6
非富即貴,fi1 fu1 zik2 gwäi1
荒淫無度,fong1 yäm4 mu4 du6
放不下心,fong1 bäk2 ha6 säm1
放射病,fong1 se6 beng6
放射療法,fong1 se6 liu4 fæk2
婦女運動,fu1 nü1 wäng6 dung6
輻射儀,fuk2 se6 yi4
搞埋一齊,gau2 mai4 yäk2 cäi4
金巴利道,gäm1 ba1 li6 däu6
咁謙,gäm1 him1
近鄉情怯,gäng6 höng1 cäng4 hip2
急風暴雨,gäp2 fung1 bäu6 yü1
狗窿,gäu2 lung1
九種,gäu2 zung2
夠唔夠班,gäu1 m4 gäu1 bæng1
救生船,gäu1 säng1 süng4
舊怨,gäu6 yüng1
幾朵,gi2 do2
極為龐大,gik6 wäi4 pong4 dai6
經不住,gäng1 bäk2 zü6
驚怖,gäng1 bu1
驚悸,gäng1 gwäi1
經濟前途,gäng1 zäi1 cing4 tu4
乾娘,gung1 nöng4
缸瓦甫,gong1 nga1 fu2
古月粉,gwu2 ngük6 fäng2
公用電話,gung1 yung6 ding6 wa2
骨肉相殘,gwäk2 yuk6 söng1 cæng4
果脯,gwo2 pu2
國內貿易,gwok2 nöi6 mäu6 yäk6
下錨,ha6 nau4
黑種人,häk2 zung2 yäng4
行獵,häng4 lip6
行政區劃,häng4 zäng1 kü1 wæk6
合桃露,häp6 täu4 lu6
猴年馬月,häu4 ning4 ma1 ngük6
汽水車,hi1 söi2 ce1
吃香喝辣,hek2 höng1 fuk2 læk6
輕車簡從,häng1 ce1 gæng2 cung4
輕輕一笑,häng1 häng1 yäk2 siu1
輕饒,häng1 yiu4
河間,ho4 gæng1
香精油,höng1 zäng1 yäu4
向巴平措,höng1 ba1 päng4 cu1
向斜,höng1 ce4
開油鑊,fui1 yäu4 wok6
開映,fui1 yäng2
好多蚊,häu2 do1 mäng1
好鬼衰,häu2 gwäi2 söi1
好手尾,häu2 säu2 mi1
好哇,häu2 wa1
空房間,hung1 fong4 gæng1
孔融讓梨,hung2 yung4 yöng6 li4
紅梅谷,hung4 mui4 guk2
鴻圖道,hung4 tu4 däu6
血氧量,hük2 yöng1 löng6
印度豹,yäng1 du6 pau1
一筆抹殺,yäk2 bäk2 muk2 sæk2
一筆抹煞,yäk2 bäk2 muk2 sæk2
一千二百,yäk2 cing1 yi6 bæk2
一錢不值,yäk2 cing4 bäk2 zäk6
一泡,yäk2 pau1
一時半會,yäk2 si4 bung1 wui6
一掃而光,yäk2 säu1 yi4 gwong1
日月如梭,yäk6 ngük6 yü4 so1
優質鋼,yäu1 zäk2 gong1
遊伴,yäu4 bung6
油甘子,yäu4 gäm1 zi2
油嘴,yäu4 zöi2
友好訪問,yäu1 häu2 fong2 mäng6
有數圍,yäu1 su1 wäi4
夜幕降臨,ye6 mok6 gong1 läm4
二進宮,yi6 zäng1 gung1
譯著,yäk6 zü1
煙花女,ying1 fa1 nü1
煙士,ying1 si2
燕麥粥,ying1 mæk6 zuk2
現金流轉,ying6 gäm1 läu4 züng2
盈月,yäng4 ngük6
凝集素,yäng4 zap6 su1
饒舌音樂,yiu4 sik6 yäm1 ngok6
肉毒素,yuk6 duk6 su1
擁塞,yung2 säk2
寓意深長,yü6 yi1 säm1 cöng4
原裝貨,yüng4 zong1 fo1
月桂冠,ngük6 gwäi1 gwung1
強似,köng4 ci1
抗爭歌,kong1 zäng1 go1
窮山惡水,kung4 sæng1 ok2 söi2
拳腳相向,küng4 gök2 söng1 höng1
爛酒,læng6 zäu2
李璨琛,li1 cæng1 säm1
李君妍,li1 gwäng1 ying4
李香琴,li1 höng1 käm4
李日朗,li1 yäk6 long1
李冶,li1 ye1
蘿蔔乾,lo4 bæk6 gung1
兩棲作戰,löng1 cäi1 zok2 zing1
兩虎相爭,löng1 fu2 söng1 zäng1
兩個包,löng1 go1 bau1
落於下風,lok6 yü1 ha6 fung1
樂滋滋,lok6 zi1 zi1
撈世界,läu1 säi1 gai1
盧吉道,lu4 gäk2 däu6
老繭,läu1 gæng2
老一套,läu1 yäk2 täu1
龍運巴士,lung4 wäng6 ba1 si2
弄璋,lung6 zöng1
唔卡,m4 ka1
馬伯樂,ma1 bæk2 lok6
猛吃,mæng1 hek2
墨翟,mäk6 däk6
麥糠,mæk6 hong1
尾頁,mi1 yip6
美容覺,mi1 yung4 gau1
面貌一新,ming6 mau6 yäk2 säng1
面面俱到,ming6 ming6 kü1 däu1
無米之炊,mu4 mai1 zi1 cöi1
毛肚,mäu4 tu1
煤儲量,mui4 cü1 löng6
梅雨天,mui4 yü1 ting1
梅子林,mui4 zi2 läm4
末梢神經,muk6 sau1 säng4 gäng1
沒心沒肺,muk6 säm1 muk6 fäi1
女公爵,nü1 gung1 zök2
女流之輩,nü1 läu4 zi1 bui1
晤面,ng6 ming6
雅淡,nga1 dam6
扲荷包,ngäm4 ho4 bau1
奀挑鬼命,ngäng1 tiu1 gwäi2 mäng6
鈎針,ngäu1 zäm1
外斜肌,wui6 ce4 gi1
尿泡,niu6 pau1
扒艇仔,pa4 täng1 zäi2
派片,pai1 ping2
拍胸脯,pæk2 hung1 pu2
噴墨式,päng1 mäk6 säk2
平又靚,peng4 yäu6 leng1
拼爭,päng1 zäng1
平方英尺,päng4 fong1 yäng1 cek2
平裝本,päng4 zong1 bung2
蚌精,pong1 zäng1
灑水車,sa2 söi2 ce1
三公經費,sam1 gung1 gäng1 fäi1
散春,sæng1 cäng1
生筋,sæng1 gäng1
生唔生仔,sæng1 m4 sæng1 zäi2
心都實,säm1 du1 säk6
心肝脾肺腎,säm1 gwung1 pi4 fäi1 säng6
心無二用,säm1 mu4 yi6 yung6
審讀,säm2 duk6
沈貞巧,säm2 zäng1 hau2
身強力壯,säng1 köng4 läk6 zong1
慎重其事,säng6 zung6 ki4 si6
生機盎然,säng1 gi1 ong1 ying4
生物降解,säng1 mäk6 gong1 gai2
生平事跡,säng1 päng4 si6 zäk2
生態農業,säng1 tai1 nung4 yip6
生卒年,säng1 zäk2 ning4
十月芥菜,säp6 ngük6 gai1 cöi1
實屬不易,säk6 suk6 bäk2 yi6
手痕痕,säu2 häng4 häng4
壽山村道,säu6 sæng1 cüng1 däu6
瀉肚子,se1 tu1 zi2
死蛇爛鱔,si2 se4 læng6 sing1
四朵,si1 do2
石頂,sek6 däng2
成身大汗,seng4 säng1 dai6 fung6
雖死猶生,söi1 si2 yäu4 säng1
順寧道,säng6 näng4 däu6
司法院長,si1 fæk2 yüng6 zöng2
嘶嘶聲,si1 si1 säng1
屍體解剖,si1 täi2 gai2 fäu2
屎波架撐多,si2 bo1 ga1 cæng1 do1
食祿,säk6 luk6
食物油,säk6 mäk6 yäu4
禪堂,sim4 tong4
省察,säng2 cæk2
乘龍快婿,säng4 lung4 fai1 säi1
承上啟下,säng4 söng6 käi2 ha6
城鐵,säng4 tik2
攝影術,sip2 yäng2 säk6
