char,pron
樹葉,sü6 yip6
粽葉,zung2 yip6
松樹,cung4 sü6
松果,cung4 gwo2
松針,cung4 zäm1
松毛,cung4 mäu4
樹膠,sü6 gau1
木頭,muk6 täu4
畜牲,cuk2 sæng1
水牛,söi2 ngäu4
黃牛,wong4 ngäu4
牛公,ngäu4 gung1
牛乸,ngäu4 na2
牛牯仔,ngäu4 gu2 zäi2
牛仔,ngäu4 zäi2
牛角,ngäu4 gok2
羊牯,yöng4 gu2
羊乸,yöng4 na2
羊仔,yöng4 zäi2
豬公,zü1 gung1
豬婆,zü1 po4
豬乸,zü1 na2
閹豬,yim1 zü1
豬仔,zü1 zäi2
生仔,sæng1 zäi2
配種,pui1 zung2
打種,da2 zung2
狗公,gäu2 gung1
狗乸,gäu2 na2
貓公,miu2 gung1
貓乸,miu2 na2
叫春,giu1 cäng1
喊春,ham1 cäng1
雞公,gäi1 gung1
雞乸,gäi1 na2
騸雞,sing1 gäi1
雞仔,gäi1 zäi2
賴伏雞,lai6 bu6 gäi1
雞春,gäi1 cäng1
雞胗,gäi1 käng2
生春,sæng1 cäng1
老虎,läu1 fu2
獅子,si1 zi2
狐狸,fu4 li2
馬騮,ma1 läu4
兔仔,tu1 zäi2
老鼠,läu1 sü2
雀仔,zök2 zäi2
麻雀,ma4 zök2
鴉賊,a1 cæk2
老鴉,läu1 a1
老鴉,läu1 a2
牙鷹,nga4 yäng1
麻鷹,ngai4 po4
枕虼,zäm2 ngak2
貓頭鷹,mau1 täu4 yäng1
燕子,ying1 zi2
蝠鼠,fuk2 sü2
盲老鼠,mæng4 läu1 sü2
白鴿,bæk6 gäp2
鷯哥,liu2 go2
蠄蟧,käm4 lo2
鵝蚿,ngo4 hüng2
蛇蚿,se4 hüng2
禾蚿,wo4 hüng2
百足,bæk2 zok2
硬殼蟲,ngæng6 hok2 cung4
簷蛇,yim4 se2
鳥蠅,fu1 yäng4
金鳥蠅,gäm1 fu1 yäng4
囓仔,ngæk2 zai2
木虱,muk6 säk2
跳蚤,tiu1 zäu2
虱乸,säk2 na2
甴曱,gak6 zak2
囊蜊,nong4 li2
囊拈,nong4 nim2
囊靚,nong4 leng2
蝴蝶,fu4 dip2
斬柴郎,zam2 cai4 long2
螢火蟲,yäng4 fo2 cung4
蜜仔,mäk6 zäi2
鵝蜂,ngo4 hung1
蛐蛐,go4 go2
烏氹仔,wu2 däm2 zäi2
蛤乸,gäp2 na2
蛤蚧,gäp2 gwai2
蛤蟆,käm4 kü4
昂龜,ngong1 gwäi1
水魚,söi2 yü4
蝦公,ha1 gung1
泥劣仔,näi4 lük2 zäi2
牛蜞,ngäu4 ki4
沙伯,sa1 bæk2
包仔螺,bau1 zäi2 lö2
鼻涕蟲,bi6 täi1 cung4
響螺,höng2 lö2
田螺,ting4 lö2
黃鱔,wong4 sing1
鯉魚,li1 yü4
鯽魚,zäk2 yü4
魚鱗,yü4 läng4
屋企,uk2 ki2
起屋,hi2 uk2
打地腳,da2 di6 gök2
築牆,zuk2 cöng4
起籬牆,hi2 li4 cöng4
磚頭,züng1 täu4
斷磚,tüng1 züng1
生磚,sæng1 züng1
爛瓦,læng6 nga1
瓦片,nga1 ping2
上樑,söng1 löng4
柱躉,cü1 däng2
房間,fong4 gæng1
天間,ting1 gæng1
花廳,fa1 teng2
天井,ting1 zeng2
籬壆,li4 bok2
窗門,cöng1 mung2
側門,zäk2 mung2
門檻,mung4 cam1
門扣,mung4 käu1
門弄,mung4 lung6
天棚,ting1 pæng2
欄河,læng4 ho2
石級,sek6 käp2
樓梯,läu4 täi1
下間,ha6 gæng1
煙通,ying1 tung1
打灶,da2 zäu1
屎坑,si2 hæng1
角落頭,gok2 lok2 täu2
雞鬥,gäi1 däu1
雞欄,gäi1 læng2
雞籠,gäi1 lung4
豬槽,zü1 cäu2
牛欄,ngäu4 læng4
傢生,ga1 sæng1
傢俬,ga1 si1
凳仔,däng1 zäi2
長凳,cöng4 däng1
板凳,bæng2 däng1
書檯,sü1 töi2
沙櫃,sa6 gwäi6
廚櫃,cü4 gwäi6
櫃桶,gwäi6 tung2
竹席,zuk2 zek6
草席,cäu2 zek6
床褥,cong4 yuk2
褥仔,yuk6 zäi2
枕頭,zäm2 täu4
毛冷,mäu4 lang2
蚊帳,mäng2 zöng1
窗簾,cöng1 lim2
面盆,ming6 pung2
手巾,säu2 gäng1
番鹼,fæng1 gæng2
牙刷,nga4 cak2
牙膏,nga4 gäu1
葫蘆殼,pu4 lu4 hok2
大甕,dai6 ung1
水甕,söi2 ung1
缽頭,buk2 täu4
茶碗,ca4 wung2
茶杯,ca4 bui1
熱水壺,ngik6 söi2 fu4
茶壺,ca4 fu4
熱水壺,yik6 söi2 fu4
調羹,tiu4 gæng1
匙羹,ci4 gæng1
飯殼,fæng6 hok2
筷子,fai1 zi2
火屎,fo2 si2
火爐,fo2 lu4
發火,fæk2 fo2
起火,hi2 fo2
鑊仔,wok6 zäi2
鑊蓋,wok6 gui1
鑊鏟,wok6 cæng2
鑊癆,wok6 läu2
鑊辣,wok6 lak2
砧板,zäm1 bæng2
蒸籠,zäng1 lung4
飯罉,fæng6 cæng2
筲箕,sau1 gi1
撈箕,lau4 gi1
竹掃,zuk2 säu2
檯布,toi2 bu1
抹碗布,mæk2 wung2 bu1
火柴,fo2 zäi2
煙筒,ying1 tung2
大碌竹,dai6 luk2 cuk2
電筒,ding6 tung4
電燈,ding6 däng2
蠟燭,lap6 zuk2
電油,ding6 yäu4
火水,fo2 söi2
屎桶,si2 tung2
屎槽,si2 cäu4
尿桶,niu6 tung4
夜壺,niu6 fu4
屎殼,si2 hok2
痰罐,tam4 gwung1
吊桶,diu2 tung2
水桶,söi2 dung2
鎖匙,so2 si4
蓑衣,so1 yi1
斗笠,däu2 läp2
掃把,säu1 ba2
大掃,dai6 säu2
糞箕,fäng1 gi1
窩欄,wo1 læng4
竹篙,zuk2 gäu1
丫叉,a1 ca1
拐杖,gwai2 zöng2
魚籠,yü4 lung4
釣竿,diu1 gwung1
傢生,ga1 cang1
錘仔,cöi4 zäi2
斧頭,fu2 täu4
鉗仔,kim4 zäi2
鉸剪,gau1 zing2
頂指,däng2 zi2
衣車,yi1 ce2
爆裂,bau1 lik6
衣裳,yi1 söng4
買布,mai1 bu1
黑布,häk2 bu1
剪布,zing2 bu1
試身,si1 säng1
恤衫,sük2 sam1
底衫,däi2 sam1
棉衲,ming4 nap6
褡仔,dap2 zäi2
大褸,dai6 läu1
冷衫,læng2 sam1
