id,language,glyph,pron
146,hakka,鐘頭,zung1 teu2
147,waitau,點鐘,dim2 zung1
147,hakka,點鐘,diam3 zung1
148,waitau,天光,ting1 gwong1
148,waitau,麻嘅,ma4 ge2
148,hakka,天光,tien1 gong1
149,waitau,朝頭早,ziu6 täu4 zäu2
149,waitau,麻嘅,ma4 ge2
149,hakka,朝晨頭,zau1 sin2 teu2
150,waitau,上晝,söng6 zäu1
150,hakka,上晝,song4 ziu4
151,waitau,晏晝,æng6 zäu2
151,hakka,晏晝,an4 ziu4
152,waitau,下晝,ha6 zäu6
152,hakka,下晝,ha1 ziu4
153,waitau,挨晚,ai1 mæng1
153,hakka,斷暗,ton1 am4
154,waitau,日頭,yäk6 täu2
154,hakka,日辰頭,ngit5 sin2 teu2
155,waitau,晚頭黑,mæng1 täu4 hak2
155,hakka,夜晚辰,ya4 man1 sin2
156,waitau,入夜,yäp6 ya6
156,hakka,晚辰頭,man1 sin2 teu2
157,waitau,成日,seng4 yak6
157,hakka,成日,sang2 ngit5
158,waitau,天光,ting1 gwong1
158,hakka,天光,tien1 gong1
159,waitau,天黑,ting1 häk2
159,hakka,斷暗,ton1 am4
160,waitau,月頭,yük6 täu4
160,hakka,月頭,ngiet6 teu2
161,waitau,月尾,yük6 mi1
161,hakka,月尾,ngiet6 mui1
162,waitau,舊時,gäu6 si4
162,waitau,舊陣時,gäu6 zäng6 si4
162,hakka,早下,zau3 ha4
163,waitau,那下,na2 ha1
163,hakka,今下,gim1 ha4
164,waitau,起頭,hi2 täu4
164,waitau,開首,fui1 säu2
164,hakka,開頭,hoi1 teu2
165,waitau,後尾,häu6 mi1
165,waitau,收尾,säu2 mi1
165,hakka,跟尾,gen4 mui1
165,hakka,黏尾,ngiam2 mui1
166,waitau,最後尾,zöi1 säu1 mi1
166,hakka,包尾,bau1 mui1
167,waitau,啱先,ngam2 sing1
167,waitau,頭先,täu4 sing1
167,hakka,正先,cang4 sien1
168,waitau,大年初一,dai6 ning4 co1 yäk2
168,hakka,年初一,ngien2 co1 yit5
169,waitau,五月節,ng1 yük6 zik2
169,waitau,扒龍船,pa4 lung4 süng4
169,hakka,五月節,ng1 ngiet6 ziet5
170,waitau,八月十五,bæk2 yük6 säp6 ng1
170,hakka,八月十五,bat5 ngiet6 sip6 ng3
170,hakka,八月半,bat5 ngiet6 ban4
171,waitau,重陽,cung4 yong4
171,waitau,重九,cung4 gäu2
171,waitau,九月九,gäu2 yük6 gäu2
171,hakka,重陽,cung2 yong2
172,waitau,大年卅晚,dai6 ning4 sa6 mæng1
172,waitau,年卅晚,ning4 sa6 mæng1
172,hakka,年三十晚,ngien2 sam1 sip6 man1
173,waitau,通書,tung1 sü1
173,waitau,通勝,tung1 säng1
173,hakka,通書,tung1 su1
174,waitau,一世,yäk2 säi1
174,waitau,成世,seng4 säi1
174,hakka,一世,yit5 se4
175,waitau,前世,cing4 säi1
175,hakka,前世,cien2 se4
176,waitau,下一世,ha6 yäk2 säi1
176,waitau,第二世,däi6 ngi6 säi1
176,hakka,轉世,zon3 se4
177,waitau,一陣間,yäk2 zäng6 gæng2
177,hakka,一陣間,yit5 cin4 gan1
177,hakka,陣時間,cin4 si2 gan1
178,waitau,眨下眼,zam2 ha1 ngæng2
178,hakka,𥍉下眼,ngiap5 ha4 ngan3
179,waitau,時候,si4 häu6
179,hakka,時途,si2 tu2
180,waitau,水田,söi2 ting4
180,hakka,水田,sui3 tien2
181,waitau,田,ting4
181,hakka,旱地,hon1 ti4
182,waitau,田壆,ting4 bok2
182,hakka,田塍,tien2 sun2
183,hakka,坎,ngam4
184,waitau,耕田,gæng1 ting4
184,hakka,耕田,gang1 tien2
185,hakka,扯禾,ca3 vo2
185,hakka,扯秧,ca3 yong1
186,waitau,蒔田,si1 ting4
186,hakka,蒔田,si4 tien2
187,waitau,剔禾草,tik2 wo4 cäu2
187,hakka,耘田,vun2 tien2
188,waitau,割禾,gwuk2 wo4
188,hakka,割禾,got5 vo2
189,waitau,拌禾,pæng1 wo4
189,waitau,打穀,da2 guk2
189,hakka,拌禾,pan1 vo2
190,waitau,禾稈草,wo4 gwung2 cäu2
190,hakka,禾稈草,vo2 gon3 cau3
191,waitau,禾稈頭,wo4 gwung2 täu4
191,hakka,禾稈頭,vo2 gon3 teu2
192,waitau,撤,sæk2
192,hakka,敥,yam4
193,waitau,漚,äu1
193,hakka,漚肥,eu4 pui2
194,waitau,鋤頭,co4 täu4
194,waitau,鋤頭,co4 täu2
194,hakka,钁鋤,giok5 co2
195,waitau,柄,beng1
195,hakka,柄,biang4
196,waitau,鏟,cæng2
196,hakka,鐵鏟,tiet5 can3
197,waitau,番釘,fæng1 deng1
197,hakka,釘鋤,dang1 co2
197,hakka,番釘,fan1 dang1
198,waitau,禾鐮,wo4 lim2
198,hakka,禾鐮,vo2 liam2
199,waitau,草鐮,cäu2 lim2
199,waitau,草鐮,cäu2 lim4
199,waitau,鐮刀,lim4 dau1
199,hakka,鐮刀,liam2 dau1
200,waitau,柴刀,cai6 däu1
200,hakka,柴刀,cai2 dau1
201,waitau,犁,läi4
201,hakka,犁,lai2
202,waitau,耙,pa4
202,hakka,耙,pa2
203,waitau,水車,söi2 ce1
203,hakka,水車,sui3 ca1
204,waitau,風車,fung1 ce1
204,hakka,風櫃,fung1 kui4
205,waitau,拌桶,pæng1 tung2
205,hakka,穀桶,guk5 tung3
205,hakka,拌桶,pan1 tung3
206,waitau,穀臿,guk2 cap2
206,hakka,簸箕,boi4 gi1
206,hakka,畚箕,bun4 gi1
207,waitau,垃圾臿,lap6 sap2 cap2
207,hakka,畚臿,bun4 cap5
208,waitau,臿,cap2
208,hakka,糞箕,bun4 gi1
209,waitau,穀籮,guk2 lo4
209,hakka,籮,lo2
210,waitau,篩,säi1
210,hakka,篩子,si1 zu1
210,hakka,篩,si1
211,waitau,磨,mo6
211,hakka,磨,mo4
212,waitau,泥磨,näi4 mo2
212,hakka,礱磨,lung2 mo4
213,waitau,碓,döi2
213,hakka,碓,doi4
214,waitau,碓坎,döi1 häm2
214,hakka,碓坎,doi4 ham3
215,waitau,碓坎,döi1 häm2
215,hakka,碓頭,doi4 teu2
216,hakka,碾子,lien4 zu3
217,hakka,石碌,sak6 luk5
218,waitau,地堂,di6 tong2
218,waitau,禾堂,wo4 tong2
218,hakka,禾庭,vo2 tang2
219,waitau,窩攔,wo1 læng4
219,hakka,穀笪,guk5 dat5
220,waitau,擔竿,dam1 gung1
220,hakka,擔竿,dam4 gon1
221,waitau,繩,säng4
221,waitau,繩仔,säng4 zäi2
221,hakka,索嫲,sok5 ma2
223,waitau,打樁,da2 zong1
223,hakka,打樁,da3 zong1
